1,'ТехПостач Україна','Іванов Іван','+380501234567','ivanov@techsupply.ua','Київ вул Шевченка 10','Електроніка'\n
2,'БудМайстер ЛТД','Петров Петро','+380672345678','petrov@buildmaster.ua','Львів пр Франка 25','Будівництво'\n
3,'АгроПро Компанія','Сидоренко Ольга','+380933456789','sidorenko@agripro.ua','Харків вул Сумська 45','Сільгосп'\n
4,'МеталВоркс Інк','Коваленко Микола','+380504567890','kovalenko@metalworks.ua','Дніпро пр Гагаріна 12','Метал'\n
5,'ПластікТех Рішення','Шевченко Анна','+380675678901','shevchenko@plastictech.ua','Одеса вул Дерибасівська 8','Пластик'\n
6,'ДревКрафт Україна','Бондаренко Віктор','+380936789012','bondarenko@woodcraft.ua','Запоріжжя пр Соборний 33','Дерево'\n
7,'ХімПостач Про','Ткаченко Наталія','+380507890123','tkachenko@chemsupply.ua','Вінниця вул Соборна 17','Хімікати'\n
8,'ІнструментМайстер','Марченко Сергій','+380678901234','marchenko@toolmaster.ua','Полтава вул Короленка 22','Інструменти'\n
9,'ПакуванняПро ЛТД','Кравченко Ірина','+380939012345','kravchenko@packagepro.ua','Чернігів пр Миру 14','Упаковка'\n
10,'ЕнергоТех Рішення','Мороз Андрій','+380500123456','moroz@energytech.ua','Суми вул Харківська 29','Енергетика\n
